"product_group","product_name","sales_sep_k_rub","cogs_sep_k_rub","margin_sep_k_rub","margin_share_pct","cum_margin_share_pct","abc_category"
Мясо и мясопродукты,Мясо и мясопродукты 14,14.04627,9.99744,4.04883,0.15,50.84,A
Мясо и мясопродукты,Мясо и мясопродукты 23,8.35854,4.32170,4.03684,0.15,50.99,A
Молочные продукты,Молочные продукты 672,15.37760,11.36019,4.01741,0.15,51.14,A
Молочные продукты,Молочные продукты 640,7.88352,3.89586,3.98766,0.15,51.29,A
Овощи и фрукты,Овощи и фрукты 350,19.54688,15.61071,3.93617,0.15,51.43,A
Овощи и фрукты,Овощи и фрукты 241,14.62571,10.71781,3.90790,0.15,51.58,A
Мясо и мясопродукты,Мясо и мясопродукты 382,9.04200,5.16245,3.87955,0.14,51.72,A
Молочные продукты,Молочные продукты 198,19.35481,15.48439,3.87042,0.14,51.87,A
Молочные продукты,Молочные продукты 293,10.83098,6.97970,3.85128,0.14,52.01,A
Молочные продукты,Молочные продукты 277,25.52429,21.69154,3.83275,0.14,52.15,A
Мясо и мясопродукты,Мясо и мясопродукты 29,7.31022,3.49468,3.81554,0.14,52.30,A
Мясо и мясопродукты,Мясо и мясопродукты 335,10.52108,6.72252,3.79856,0.14,52.44,A
Молочные продукты,Молочные продукты 515,12.03386,8.25594,3.77792,0.14,52.58,A
Молочные продукты,Молочные продукты 508,12.79634,9.04464,3.75170,0.14,52.72,A
Молочные продукты,Молочные продукты 411,29.02711,25.30352,3.72359,0.14,52.85,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 86,11.43081,7.77684,3.65397,0.14,52.99,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 261,41.88793,38.23740,3.65053,0.14,53.13,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 203,15.41185,11.76525,3.64660,0.14,53.26,A
Молочные продукты,Молочные продукты 228,20.87752,17.23642,3.64110,0.14,53.40,A
Молочные продукты,Молочные продукты 608,9.18553,5.54976,3.63577,0.14,53.53,A
Производство,Производство 86,8.02439,4.41198,3.61241,0.13,53.67,A
Мясо и мясопродукты,Мясо и мясопродукты 136,10.68115,7.09021,3.59094,0.13,53.80,A
Молочные продукты,Молочные продукты 507,7.18654,3.63084,3.55570,0.13,53.93,A
Молочные продукты,Молочные продукты 322,8.85193,5.31000,3.54193,0.13,54.06,A
Молочные продукты,Молочные продукты 452,10.41530,6.88906,3.52624,0.13,54.19,A
Молочные продукты,Молочные продукты 658,8.22550,4.71272,3.51278,0.13,54.32,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 157,8.39465,4.88400,3.51065,0.13,54.46,A
Молочные продукты,Молочные продукты 653,8.01440,4.50519,3.50921,0.13,54.59,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 169,10.50668,7.04685,3.45983,0.13,54.71,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 251,24.02128,20.56257,3.45871,0.13,54.84,A
Молочные продукты,Молочные продукты 522,23.85532,20.41601,3.43931,0.13,54.97,A
Молочные продукты,Молочные продукты 247,12.77528,9.35460,3.42068,0.13,55.10,A
Молочные продукты,Молочные продукты 701,11.56455,8.14671,3.41784,0.13,55.22,A
Овощи и фрукты,Овощи и фрукты 88,8.41317,4.99630,3.41687,0.13,55.35,A
Молочные продукты,Молочные продукты 546,8.99694,5.58250,3.41444,0.13,55.48,A
Молочные продукты,Молочные продукты 671,12.29424,8.90499,3.38925,0.13,55.60,A
Мясо и мясопродукты,Мясо и мясопродукты 87,8.76237,5.39978,3.36259,0.12,55.73,A
Мясо и мясопродукты,Мясо и мясопродукты 500,14.66950,11.33300,3.33650,0.12,55.85,A
Мясо и мясопродукты,Мясо и мясопродукты 170,6.41012,3.08400,3.32612,0.12,55.98,A
Молочные продукты,Молочные продукты 688,12.09290,8.76884,3.32406,0.12,56.10,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 329,9.60403,6.31116,3.29287,0.12,56.22,A
Овощи и фрукты,Овощи и фрукты 32,6.82787,3.54385,3.28402,0.12,56.35,A
Мясо и мясопродукты,Мясо и мясопродукты 204,7.02473,3.74517,3.27956,0.12,56.47,A
Овощи и фрукты,Овощи и фрукты 30,6.75525,3.54127,3.21398,0.12,56.59,A
Молочные продукты,Молочные продукты 249,9.15182,5.94006,3.21176,0.12,56.71,A
Молочные продукты,Молочные продукты 459,9.98372,6.78284,3.20088,0.12,56.82,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 178,9.54241,6.36500,3.17741,0.12,56.94,A
Молочные продукты,Молочные продукты 330,9.74192,6.56656,3.17536,0.12,57.06,A
Молочные продукты,Молочные продукты 175,14.06812,10.90405,3.16407,0.12,57.18,A
Молочные продукты,Молочные продукты 311,22.30659,19.14293,3.16366,0.12,57.30,A
Мясо и мясопродукты,Мясо и мясопродукты 413,7.13174,3.97736,3.15438,0.12,57.41,A
Молочные продукты,Молочные продукты 238,7.66930,4.52380,3.14550,0.12,57.53,A
Молочные продукты,Молочные продукты 432,12.10748,8.96352,3.14396,0.12,57.65,A
Молочные продукты,Молочные продукты 333,16.32394,13.18585,3.13809,0.12,57.76,A
Овощи и фрукты,Овощи и фрукты 47,8.36549,5.23800,3.12749,0.12,57.88,A
Молочные продукты,Молочные продукты 692,11.63046,8.50512,3.12534,0.12,58.00,A
Молочные продукты,Молочные продукты 587,9.36120,6.24025,3.12095,0.12,58.11,A
Мясо и мясопродукты,Мясо и мясопродукты 329,12.02011,8.94600,3.07411,0.11,58.23,A
Мясо и мясопродукты,Мясо и мясопродукты 449,8.85613,5.79724,3.05889,0.11,58.34,A
Мясо и мясопродукты,Мясо и мясопродукты 130,7.37330,4.31687,3.05643,0.11,58.45,A
Мясо и мясопродукты,Мясо и мясопродукты 65,6.23450,3.19407,3.04043,0.11,58.57,A
Молочные продукты,Молочные продукты 255,24.12850,21.10215,3.02635,0.11,58.68,A
Молочные продукты,Молочные продукты 705,11.31042,8.29197,3.01845,0.11,58.79,A
Мясо и мясопродукты,Мясо и мясопродукты 376,6.01813,3.00537,3.01276,0.11,58.90,A
Мясо и мясопродукты,Мясо и мясопродукты 431,17.95248,14.94520,3.00728,0.11,59.01,A
Молочные продукты,Молочные продукты 635,12.36167,9.35860,3.00307,0.11,59.13,A
Молочные продукты,Молочные продукты 477,11.30419,8.30580,2.99839,0.11,59.24,A
Молочные продукты,Молочные продукты 675,7.47484,4.48074,2.99410,0.11,59.35,A
Овощи и фрукты,Овощи и фрукты 18,6.34337,3.35964,2.98373,0.11,59.46,A
Мясо и мясопродукты,Мясо и мясопродукты 228,6.55465,3.57420,2.98045,0.11,59.57,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 236,9.03855,6.06225,2.97630,0.11,59.68,A
Мясо и мясопродукты,Мясо и мясопродукты 267,9.98539,7.01299,2.97240,0.11,59.79,A
Молочные продукты,Молочные продукты 670,8.88966,5.92722,2.96244,0.11,59.90,A
Мясо и мясопродукты,Мясо и мясопродукты 294,12.96744,10.01368,2.95376,0.11,60.01,A
Молочные продукты,Молочные продукты 289,51.47830,48.52734,2.95096,0.11,60.12,A
Молочные продукты,Молочные продукты 625,9.50986,6.58268,2.92718,0.11,60.23,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 233,10.90262,7.98189,2.92073,0.11,60.34,A
Мясо и мясопродукты,Мясо и мясопродукты 356,5.64619,2.73000,2.91619,0.11,60.45,A
Мясо и мясопродукты,Мясо и мясопродукты 496,7.40285,4.48800,2.91485,0.11,60.56,A
Молочные продукты,Молочные продукты 535,8.31559,5.41878,2.89681,0.11,60.66,A
Мясо и мясопродукты,Мясо и мясопродукты 52,11.22251,8.33846,2.88405,0.11,60.77,A
Мясо и мясопродукты,Мясо и мясопродукты 1,11.75112,8.87000,2.88112,0.11,60.88,A
Мясо и мясопродукты,Мясо и мясопродукты 314,7.33916,4.46310,2.87606,0.11,60.98,A
Овощи и фрукты,Овощи и фрукты 230,12.64458,9.78591,2.85867,0.11,61.09,A
Молочные продукты,Молочные продукты 438,8.18561,5.32891,2.85670,0.11,61.20,A
Мясо и мясопродукты,Мясо и мясопродукты 176,7.40153,4.55147,2.85006,0.11,61.30,A
Молочные продукты,Молочные продукты 454,13.20199,10.35972,2.84227,0.11,61.41,A
Молочные продукты,Молочные продукты 569,10.34171,7.49975,2.84196,0.11,61.51,A
Мясо и мясопродукты,Мясо и мясопродукты 16,6.56268,3.72400,2.83868,0.11,61.62,A
Мясо и мясопродукты,Мясо и мясопродукты 516,14.51078,11.70300,2.80778,0.10,61.72,A
Мясо и мясопродукты,Мясо и мясопродукты 61,7.26897,4.47909,2.78988,0.10,61.83,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 96,8.44322,5.72402,2.71920,0.10,61.93,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 31,10.90693,8.19000,2.71693,0.10,62.03,A
Мясо и мясопродукты,Мясо и мясопродукты 409,7.49297,4.80150,2.69147,0.10,62.13,A
Молочные продукты,Молочные продукты 283,9.90397,7.21798,2.68599,0.10,62.23,A
Молочные продукты,Молочные продукты 466,11.06202,8.38244,2.67958,0.10,62.33,A
Производство,Производство 37,6.16628,3.48750,2.67878,0.10,62.43,A
Молочные продукты,Молочные продукты 409,8.28960,5.61389,2.67571,0.10,62.53,A
Молочные продукты,Молочные продукты 295,6.81891,4.14960,2.66931,0.10,62.63,A
Молочные продукты,Молочные продукты 634,10.93674,8.26890,2.66784,0.10,62.73,A
Молочные продукты,Молочные продукты 695,10.37612,7.72935,2.64677,0.10,62.82,A
Молочные продукты,Молочные продукты 234,8.25395,5.60770,2.64625,0.10,62.92,A
Молочные продукты,Молочные продукты 566,5.69853,3.05718,2.64135,0.10,63.02,A
Молочные продукты,Молочные продукты 607,6.02577,3.40614,2.61963,0.10,63.12,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 306,16.06519,13.44792,2.61727,0.10,63.22,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 108,6.28131,3.68774,2.59357,0.10,63.31,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 217,9.46867,6.90345,2.56522,0.10,63.41,A
Молочные продукты,Молочные продукты 542,6.91203,4.35240,2.55963,0.10,63.50,A
Молочные продукты,Молочные продукты 262,16.30231,13.74740,2.55491,0.09,63.60,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 210,10.41867,7.87280,2.54587,0.09,63.69,A
Мясо и мясопродукты,Мясо и мясопродукты 440,5.07139,2.53649,2.53490,0.09,63.79,A
Молочные продукты,Молочные продукты 674,6.02842,3.50702,2.52140,0.09,63.88,A
Мясо и мясопродукты,Мясо и мясопродукты 400,8.82062,6.30344,2.51718,0.09,63.97,A
Молочные продукты,Молочные продукты 560,7.24036,4.73677,2.50359,0.09,64.07,A
Молочные продукты,Молочные продукты 334,23.13436,20.63659,2.49777,0.09,64.16,A
Мясо и мясопродукты,Мясо и мясопродукты 254,4.80610,2.32416,2.48194,0.09,64.25,A
Молочные продукты,Молочные продукты 582,12.38478,9.91132,2.47346,0.09,64.34,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 71,8.08272,5.61250,2.47022,0.09,64.43,A
Мясо и мясопродукты,Мясо и мясопродукты 459,5.40125,2.96075,2.44050,0.09,64.53,A
Овощи и фрукты,Овощи и фрукты 244,8.84964,6.42913,2.42051,0.09,64.62,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 307,8.12483,5.70898,2.41585,0.09,64.71,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 137,4.94858,2.54200,2.40658,0.09,64.79,A
Молочные продукты,Молочные продукты 58,10.49238,8.09487,2.39751,0.09,64.88,A
Мясо и мясопродукты,Мясо и мясопродукты 270,6.15307,3.76121,2.39186,0.09,64.97,A
Овощи и фрукты,Овощи и фрукты 31,4.93407,2.54775,2.38632,0.09,65.06,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 224,10.57225,8.19550,2.37675,0.09,65.15,A
Молочные продукты,Молочные продукты 495,7.47917,5.12134,2.35783,0.09,65.24,A
Молочные продукты,Молочные продукты 724,5.95866,3.60272,2.35594,0.09,65.32,A
Мясо и мясопродукты,Мясо и мясопродукты 498,9.47425,7.11951,2.35474,0.09,65.41,A
Молочные продукты,Молочные продукты 472,13.37200,11.02068,2.35132,0.09,65.50,A
Мясо и мясопродукты,Мясо и мясопродукты 511,8.96029,6.61769,2.34260,0.09,65.59,A
Молочные продукты,Молочные продукты 445,8.79463,6.45300,2.34163,0.09,65.67,A
Овощи и фрукты,Овощи и фрукты 290,6.47030,4.13548,2.33482,0.09,65.76,A
Молочные продукты,Молочные продукты 328,4.93414,2.61212,2.32202,0.09,65.85,A
Мясо и мясопродукты,Мясо и мясопродукты 184,4.86154,2.54144,2.32010,0.09,65.93,A
Молочные продукты,Молочные продукты 191,8.58779,6.26901,2.31878,0.09,66.02,A
Молочные продукты,Молочные продукты 614,8.82723,6.51808,2.30915,0.09,66.11,A
Молочные продукты,Молочные продукты 410,12.96194,10.65460,2.30734,0.09,66.19,A
Овощи и фрукты,Овощи и фрукты 84,5.54256,3.23540,2.30716,0.09,66.28,A
Мясо и мясопродукты,Мясо и мясопродукты 502,24.99344,22.70198,2.29146,0.09,66.36,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 303,8.27625,5.98500,2.29125,0.09,66.45,A
Производство,Производство 38,5.51507,3.22620,2.28887,0.09,66.53,A
Молочные продукты,Молочные продукты 696,9.40283,7.11490,2.28793,0.09,66.62,A
Мясо и мясопродукты,Мясо и мясопродукты 481,7.59439,5.31190,2.28249,0.08,66.70,A
Мясо и мясопродукты,Мясо и мясопродукты 216,5.12219,2.84581,2.27638,0.08,66.79,A
Овощи и фрукты,Овощи и фрукты 105,4.97263,2.70039,2.27224,0.08,66.87,A
Мясо и мясопродукты,Мясо и мясопродукты 322,6.17394,3.90405,2.26989,0.08,66.96,A
Молочные продукты,Молочные продукты 624,7.61960,5.36360,2.25600,0.08,67.04,A
Мясо и мясопродукты,Мясо и мясопродукты 40,43.22689,40.97867,2.24822,0.08,67.12,A
Молочные продукты,Молочные продукты 257,15.10939,12.86428,2.24511,0.08,67.21,A
Молочные продукты,Молочные продукты 679,10.26124,8.02140,2.23984,0.08,67.29,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 160,7.44609,5.21315,2.23294,0.08,67.37,A
Мясо и мясопродукты,Мясо и мясопродукты 414,6.21840,3.99111,2.22729,0.08,67.46,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 232,11.08714,8.86459,2.22255,0.08,67.54,A
Молочные продукты,Молочные продукты 556,6.51410,4.29188,2.22222,0.08,67.62,A
Молочные продукты,Молочные продукты 657,5.14070,2.91948,2.22122,0.08,67.70,A
Мясо и мясопродукты,Мясо и мясопродукты 374,4.32025,2.09963,2.22062,0.08,67.79,A
